Time;Channel A;Channel B
-16,59771078;1,83523059;4,96704006
-16,57723078;1,87902462;4,96704006
-16,55675078;1,87902462;4,96704006
-16,53627078;1,87902462;4,96704006
-16,51579078;1,87902462;4,96704006
-16,49531078;1,92281866;4,96704006
-16,47483078;1,92281866;4,96704006
-16,45435078;1,92281866;4,96704006
-16,43387078;1,92281866;4,96704006
-16,41339078;1,92281866;4,96704006
-16,39291078;1,96646011;4,96704006
-16,37243078;1,96646011;
-16,35195078;1,96646011;4,96704006
-16,33147078;1,96646011;4,96704006
-16,31099078;1,96646011;
-16,29051078;1,96646011;4,96704006
-16,27003078;1,96646011;4,96704006
-16,24955078;1,96646011;4,96704006
-16,22907078;1,96646011;4,96704006
-16,20859078;1,92281866;4,96704006
-16,18811078;1,92281866;4,96704006
-16,16763078;1,92281866;4,96704006
-16,14715078;1,92281866;4,96704006
-16,12667078;1,87902462;4,96704006
-16,10619078;1,87902462;4,96704006
-16,08571078;1,87902462;4,96704006
-16,06523078;1,87902462;4,96704006
-16,04475078;1,87902462;4,96704006
-16,02427078;1,87902462;4,96704006
-16,00379078;1,83523059;4,96704006
-15,98331078;1,87902462;
-15,96283078;1,83523059;4,96704006
-15,94235078;1,83523059;4,96704006
-15,92187078;1,83523059;4,96704006
-15,90139078;1,83523059;4,96704006
-15,88091078;1,79158914;4,96704006
-15,86043078;1,79158914;4,96704006
-15,83995078;1,79158914;4,96704006
-15,81947078;1,79158914;4,92309332
-15,79899078;1,74779499;4,96704006
-15,77851078;1,74779499;4,96704006
-15,75803078;1,74779499;4,96704006
-15,73755078;1,74779499;4,96704006
-15,71707078;1,70400095;4,96704006
-15,69659078;1,70400095;4,96704006
-15,67611078;1,70400095;4,96704006
-15,65563078;1,70400095;4,96704006
-15,63515078;1,70400095;4,96704006
-15,61467078;1,70400095;4,96704006
-15,59419078;1,70400095;4,96704006
-15,57371078;1,66035950;4,96704006
-15,55323078;1,66035950;4,96704006
-15,53275078;1,66035950;4,96704006
-15,51227078;1,66035950;4,96704006
-15,49179078;1,66035950;4,96704006
-15,47131078;1,61656547;4,96704006
-15,45083078;1,61656547;4,96704006
-15,43035078;1,61656547;4,96704006
-15,40987078;1,61656547;4,96704006
-15,38939078;1,61656547;4,96704006
-15,36891078;1,61656547;4,96704006
-15,34843078;1,57277143;4,96704006
-15,32795078;1,57277143;4,96704006
-15,30747078;1,57277143;
-15,28699078;1,57277143;4,96704006
-15,26651078;1,52912986;
-15,24603078;1,57277143;4,96704006
-15,22555078;1,52912986;4,96704006
-15,20507078;1,52912986;4,96704006
-15,18459078;1,52912986;4,96704006
-15,16411078;1,52912986;4,92309332
-15,14363078;1,52912986;4,96704006
-15,12315078;1,48533583;4,96704006
-15,10267078;1,48533583;4,96704006
-15,08219078;1,48533583;4,96704006
-15,06171078;1,48533583;4,96704006
-15,04123078;1,48533583;4,96704006
-15,02075078;1,48533583;4,96704006
-15,00027079;1,44154179;4,96704006
-14,97979079;1,48533583;4,92309332
-14,95931079;1,44154179;4,96704006
-14,93883079;1,44154179;4,96704006
-14,91835079;1,44154179;4,96704006
-14,89787079;1,39774776;4,96704006
-14,87739079;1,39774776;4,96704006
-14,85691079;1,35410631;4,96704006
-14,83643079;1,35410631;4,96704006
-14,81595079;1,35410631;4,96704006
-14,79547079;1,35410631;4,96704006
-14,77499079;1,35410631;4,96704006
-14,75451079;1,35410631;4,96704006
-14,73403079;1,35410631;4,96704006
-14,71355079;1,35410631;4,96704006
-14,69307079;1,35410631;4,96704006
-14,67259079;1,31031215;4,96704006
-14,65211079;1,31031215;4,96704006
-14,63163079;1,31031215;4,96704006
-14,61115079;1,26651812;4,92309332
-14,59067079;1,31031215;4,96704006
-14,57019079;1,26651812;4,92309332
-14,54971079;1,26651812;4,96704006
-14,52923079;1,26651812;4,96704006
-14,50875079;1,26651812;4,96704006
-14,48827079;1,26651812;4,96704006
-14,46779079;1,22287667;4,96704006
-14,44731079;1,22287667;4,96704006
-14,42683079;1,17908263;4,96704006
-14,40635079;1,17908263;4,96704006
-14,38587079;1,17908263;4,96704006
-14,36539079;1,17908263;4,96704006
-14,34491079;1,17908263;4,92309332
-14,32443079;1,17908263;4,96704006
-14,30395079;1,17908263;4,92309332
-14,28347079;1,17908263;4,96704006
-14,26299079;1,13528860;4,96704006
-14,24251079;1,17908263;4,96704006
-14,22203079;1,13528860;4,92309332
-14,20155079;1,13528860;4,96704006
-14,18107079;1,13528860;4,96704006
-14,16059079;1,13528860;4,96704006
-14,14011079;1,09164703;4,96704006
-14,11963079;1,09164703;4,96704006
-14,09915079;1,09164703;4,96704006
-14,07867079;1,09164703;4,96704006
-14,05819079;1,09164703;4,96704006
-14,03771079;1,04785299;4,96704006
-14,01723079;1,04785299;4,96704006
-13,99675079;1,04785299;4,96704006
-13,97627079;1,04785299;4,96704006
-13,95579079;1,04785299;4,96704006
-13,93531079;1,00405896;4,96704006
-13,91483079;1,00405896;4,96704006
-13,89435079;1,00405896;4,96704006
-13,87387079;1,00405896;4,96704006
-13,85339079;1,00405896;4,96704006
-13,83291079;0,96041751;4,96704006
-13,81243079;0,96041751;4,96704006
-13,79195079;1,00405896;4,96704006
-13,77147079;0,96041751;4,96704006
-13,75099079;0,96041751;4,96704006
-13,73051079;0,96041751;4,96704006
-13,71003079;0,96041751;4,96704006
-13,68955079;0,96041751;4,96704006
-13,66907079;0,91662341;4,96704006
-13,64859079;0,91662341;4,96704006
-13,62811079;0,91662341;4,96704006
-13,60763079;0,91662341;4,92309332
-13,58715079;0,87282938;4,96704006
-13,56667079;0,87282938;4,96704006
-13,54619079;0,87282938;4,96704006
-13,52571079;0,87282938;4,96704006
-13,50523079;0,87282938;4,96704006
-13,48475079;0,87282938;4,96704006
-13,46427079;0,82918793;4,96704006
-13,44379079;0,82918793;4,96704006
-13,42331079;0,82918793;4,96704006
-13,40283079;0,82918793;4,96704006
-13,38235079;0,82918793;4,96704006
-13,36187080;0,78539383;4,96704006
-13,34139080;0,78539383;4,96704006
-13,32091080;0,78539383;4,96704006
-13,30043080;0,78539383;4,96704006
