Temps;Canal A;Canal B
(ms);(V);(V)

-36,12120588;1,71849700;5,09384400
-36,08024588;1,67439800;5,09384400
-36,03928588;1,67439800;5,09384400
-35,99832588;1,67439800;5,09384400
-35,95736588;1,63029900;5,09384400
-35,91640588;1,63029900;5,09384400
-35,87544588;1,63029900;5,09384400
-35,83448588;1,58620000;5,09384400
-35,79352588;1,58620000;5,09384400
-35,75256588;1,58620000;5,09384400
-35,71160588;1,54210000;5,09384400
-35,67064588;1,54210000;5,09384400
-35,62968588;1,54210000;5,09384400
-35,58872588;1,49800100;5,09384400
-35,54776588;1,49800100;5,09384400
-35,50680589;1,45390200;5,09384400
-35,46584589;1,45390200;5,09384400
-35,42488589;1,45390200;5,09384400
-35,38392589;1,40965000;5,09384400
-35,34296589;1,40965000;5,09384400
-35,30200589;1,40965000;5,09384400
-35,26104589;1,36555100;5,09384400
-35,22008589;1,36555100;5,09384400
-35,17912589;1,36555100;5,09384400
-35,13816589;1,32145100;5,09384400
-35,09720589;1,27735200;5,09384400
-35,05624589;1,27735200;5,09384400
-35,01528589;1,27735200;5,09384400
-34,97432589;1,27735200;5,09384400
-34,93336589;1,27735200;5,09384400
-34,89240589;1,23325300;5,09384400
-34,85144589;1,23325300;5,09384400
-34,81048589;1,18915400;5,09384400
-34,76952589;1,18915400;5,09384400
-34,72856589;1,18915400;5,09384400
-34,68760589;1,14505400;5,09384400
-34,64664589;1,14505400;5,09384400
-34,60568589;1,10095500;5,09384400
-34,56472589;1,10095500;5,09384400
-34,52376589;1,10095500;5,09384400
-34,48280589;1,05685600;5,09384400
-34,44184589;1,05685600;5,09384400
-34,40088589;1,05685600;5,00442500
-34,35992589;1,01275700;4,91500600
-34,31896589;1,01275700;4,82558700
-34,27800589;0,96865750;4,73616700
-34,23704589;0,96865750;4,73616700
-34,19608589;0,92455820;4,64674800
-34,15512589;0,92455820;4,55732900
-34,11416589;0,92455820;4,46791000
-34,07320589;0,92455820;4,37849000
-34,03224589;0,88045900;4,28907100
-33,99128589;0,83635970;4,19934700
-33,95032589;0,88045900;4,10992800
-33,90936589;0,83635970;4,02050800
-33,86840590;0,83635970;4,02050800
-33,82744590;0,83635970;3,84167000
-33,78648590;0,79226050;3,84167000
-33,74552590;0,74816130;3,75225100
-33,70456590;0,74816130;3,66283200
-33,66360590;0,74816130;3,57341200
-33,62264590;0,74816130;3,57341200
-33,58168590;0,70390940;3,39457400
-33,54072590;0,70390940;3,39457400
-33,49976590;0,65981020;3,30515500
