Temps;Canal A;Canal B
(ms);(V);(V)

-22,57249515;0,30701620;0,44816430
-22,55201515;0,30701620;0,44816430
-22,53153515;0,30701620;0,40330210
-22,51105515;0,26291700;0,40330210
-22,49057515;0,26291700;0,40330210
-22,47009515;0,26291700;0,40330210
-22,44961515;0,26291700;0,40330210
-22,42913515;0,21881770;0,40330210
-22,40865515;0,21881770;0,35843990
-22,38817515;0,21881770;0,35843990
-22,36769515;0,21881770;0,31357770
-22,34721515;0,21881770;0,31357770
-22,32673515;0,21881770;0,31357770
-22,30625515;0,21881770;0,26871550
-22,28577515;0,21881770;0,26871550
-22,26529515;0,21881770;0,26871550
-22,24481515;0,17471850;0,26871550
-22,22433515;0,17471850;0,26871550
-22,20385515;0,17471850;0,22400590
-22,18337515;0,17471850;0,22400590
-22,16289515;0,17471850;0,22400590
-22,14241515;0,13061920;0,22400590
-22,12193515;0,13061920;0,17929620
-22,10145515;0,08651997;0,17929620
-22,08097515;0,13061920;0,17929620
-22,06049515;0,08651997;0,13443400
-22,04001515;0,08651997;0,13443400
-22,01953515;0,08651997;0,13443400
-21,99905515;0,04242073;0,13443400
-21,97857515;0,08651997;0,08957183
-21,95809515;0,04242073;0,08957183
-21,93761515;0,04242073;0,08957183
-21,91713515;0,04242073;0,04470962
-21,89665515;0,04242073;0,04470962
-21,87617515;0,04242073;0,04470962
-21,85569515;0,04242073;0,04470962
-21,83521515;0,04242073;-0,00015259
-21,81473515;-0,00167852;-0,00015259
-21,79425515;-0,00167852;0,04470962
-21,77377515;0,04242073;-0,00015259
-21,75329515;0,04242073;-0,00015259
-21,73281515;0,04242073;0,04470962
-21,71233515;0,04242073;0,04470962
-21,69185515;0,04242073;0,04470962
-21,67137515;0,04242073;0,04470962
-21,65089515;0,04242073;0,04470962
-21,63041515;0,04242073;0,08957183
-21,60993515;0,04242073;0,08957183
-21,58945515;0,08651997;0,08957183
-21,56897515;0,08651997;0,13443400
-21,54849515;0,08651997;0,08957183
-21,52801515;0,13061920;0,13443400
-21,50753515;0,13061920;0,17929620
-21,48705515;0,13061920;0,17929620
-21,46657515;0,13061920;0,17929620
-21,44609515;0,13061920;0,17929620
-21,42561515;0,13061920;0,22400590
-21,40513515;0,17471850;0,22400590
-21,38465515;0,13061920;0,22400590
-21,36417515;0,17471850;0,26871550
-21,34369515;0,17471850;0,26871550
-21,32321515;0,21881770;0,26871550
-21,30273515;0,21881770;0,26871550
-21,28225515;0,21881770;0,26871550
-21,26177515;0,21881770;0,31357770
-21,24129515;0,21881770;0,31357770
-21,22081515;0,21881770;0,31357770
-21,20033515;0,21881770;0,35843990
-21,17985515;0,21881770;0,35843990
-21,15937515;0,26291700;0,35843990
-21,13889515;0,26291700;0,40330210
-21,11841515;0,26291700;0,40330210
-21,09793515;0,26291700;0,40330210
-21,07745515;0,26291700;0,40330210
-21,05697515;0,30701620;0,44816430
-21,03649515;0,30701620;0,44816430
-21,01601515;0,30701620;0,44816430
-20,99553515;0,30701620;0,44816430
-20,97505515;0,30701620;0,44816430
-20,95457515;0,35111550;0,44816430
-20,93409516;0,35111550;0,53773610
-20,91361516;0,35111550;0,53773610
-20,89313516;0,35111550;0,53773610
-20,87265516;0,39521470;0,53773610
-20,85217516;0,39521470;0,58259830
-20,83169516;0,39521470;0,58259830
-20,81121516;0,39521470;0,58259830
-20,79073516;0,39521470;0,62746050
-20,77025516;0,39521470;0,62746050
-20,74977516;0,39521470;0,62746050
-20,72929516;0,39521470;0,67232280
-20,70881516;0,39521470;0,67232280
-20,68833516;0,43931390;0,67232280
-20,66785516;0,43931390;0,67232280
-20,64737516;0,43931390;0,71703240
-20,62689516;0,43931390;0,71703240
-20,60641516;0,43931390;0,71703240
-20,58593516;0,48341320;0,71703240
